CustomerID,ChurnProbability,RiskCategory,RetentionRecommendation,BusinessRecommendation
CUST0027,0.9997826,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0028,0.97528994,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0029,8.482148e-05,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0030,0.02708114,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0031,0.01958492,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0032,0.9964445,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0033,0.9997272,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0034,0.00880347,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0035,0.00019201281,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0036,0.06073185,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0037,0.9895476,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0038,0.0009404141,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0039,0.0013114767,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0040,0.02081947,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0041,0.0015751618,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0042,0.99794596,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0043,0.99994516,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0044,0.999446,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0045,0.0040543457,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0046,0.001731041,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0047,0.9965179,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0048,0.9963117,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0049,0.9884751,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0050,0.00015454835,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0051,0.99984074,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0052,0.99903035,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0053,0.00081369374,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0054,0.013411455,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0055,0.9917647,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0056,0.00514006,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0057,0.9775333,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0058,0.0059996443,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0059,0.011408343,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0060,0.9995752,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0061,0.00026550455,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0062,0.99820924,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0063,0.9933687,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0064,0.9937517,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0065,0.9991635,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0066,0.07095113,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0067,0.99570304,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0068,0.008426257,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0069,0.0027738619,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0070,0.5168582,Medium,"Provide loyalty rewards, personalized offers, and proactive engagement.",Moderate Risk - Increase engagement.
CUST0071,0.00016495137,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0072,0.99909616,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0073,0.00066754094,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0074,0.99997175,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0075,0.9855139,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0076,0.96784455,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0077,0.028814081,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0078,0.985385,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0079,0.99883324,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0080,0.99798775,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0081,0.00012270032,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0082,0.97636443,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0083,0.004514481,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0084,0.9985683,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0085,0.0063685956,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0086,0.0003004751,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0087,0.00061252835,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0088,0.99572843,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0089,0.00062524626,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0090,0.9997416,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0091,0.98491746,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0092,0.9993455,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0093,0.0009504171,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0094,0.9892074,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0095,0.000114913106,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0096,0.9885272,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0097,0.9976788,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0098,0.99649006,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0099,0.9987274,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0100,0.01989685,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0101,0.0018360539,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0102,0.010567172,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0103,0.002522043,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0104,0.9475807,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0105,0.99430966,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0106,0.009755852,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0107,0.024805883,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0108,0.99280035,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0109,0.00039781828,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0110,0.99959415,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0111,0.9993948,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0112,0.99541664,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0113,0.9988595,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0114,0.99598676,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0115,0.07754545,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0116,0.9986247,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0117,0.99887365,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0118,0.064640485,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0119,0.98731405,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0120,0.0008132298,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0121,0.98220253,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0122,0.0012754544,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0123,0.9922806,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0124,0.015276399,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0125,0.9986926,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0126,0.98584485,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0127,0.9831662,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0128,0.00783348,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0129,0.9981432,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0130,0.0017228443,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0131,0.998847,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0132,0.99990296,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0133,0.9990958,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0134,0.99990284,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0135,0.003164073,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0136,0.9981786,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0137,0.99980634,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0138,0.9997522,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0139,0.0002495188,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0140,0.002750825,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0141,0.9913384,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0142,0.94512594,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0143,0.99411666,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0144,0.017304806,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0145,0.992274,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0146,0.9997838,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0147,0.99467033,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0148,0.9964569,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0149,0.9951369,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0150,0.9910585,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0151,4.3895612e-05,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0152,0.027942512,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0153,0.012155127,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0154,0.00047759045,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0155,0.00073050684,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0156,0.006368035,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0157,0.9952577,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0158,0.032613296,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0159,0.0007504577,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0160,0.027744945,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0161,0.9996953,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0162,0.00041677486,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0163,0.01809661,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0164,0.9212729,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0165,0.9936987,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0166,0.9953779,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0167,0.9952793,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0168,0.013191544,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0169,0.99344915,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0170,0.99761826,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0171,0.99967706,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0172,0.9993923,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0173,0.9989281,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0174,0.9778882,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0175,0.9853511,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0176,0.24657616,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0177,0.99600285,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0178,0.99182105,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0179,0.99293655,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0180,0.94912964,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0181,0.9981602,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0182,0.011766543,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0183,0.9865349,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0184,2.7247284e-05,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0185,0.99685645,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0186,0.065556824,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0187,0.002145246,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0188,0.95285267,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0189,0.998919,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0190,0.029496659,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0191,0.0098642325,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0192,0.0023719233,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0193,0.001732778,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0194,0.9994666,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0195,0.0017113253,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0196,0.018059287,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0197,0.99835664,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0198,0.9969235,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0199,0.993997,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0200,0.999642,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0201,0.99996555,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0202,0.9933483,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0203,0.97559506,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0204,0.9968466,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0205,0.9503795,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0206,0.006183213,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0207,0.0011482582,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0208,0.00792598,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0209,0.00033428433,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0210,0.027452894,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0211,0.9999676,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0212,0.9900928,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0213,0.99960464,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0214,0.9991265,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0215,0.99980634,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0216,0.04686624,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0217,0.00020995173,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0218,0.013687488,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0219,0.0030285374,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0220,0.018740932,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0221,0.34385088,Medium,"Provide loyalty rewards, personalized offers, and proactive engagement.",Healthy Customer - Upsell premium services.
CUST0222,0.98808086,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0223,0.99147475,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0224,0.9463165,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0225,0.9950355,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0226,0.020701665,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0227,0.008376369,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0228,0.9938548,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0229,0.9649563,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0230,0.99917585,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0231,0.001480544,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0232,0.9918047,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0233,0.9616561,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0234,0.99765587,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0235,0.9990283,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0236,0.0009370561,Low,Maintain regular communication and offer premium services.,Healthy Customer - Upsell premium services.
CUST0237,0.6969016,Medium,"Provide loyalty rewards, personalized offers, and proactive engagement.",High Risk - Personalized offers recommended.
CUST0238,0.9995315,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
CUST0239,0.99998045,High,"Immediate follow-up by customer support, offer 20% discount, assign dedicated account manager.",Critical Customer - Immediate retention campaign.
